Iteration,SampleCount,S_AGE,S_AGE_Weight
58,67,4.192951463185057,61
57,168,4.6744521990232615,156
56,93,5.030392577560404,52
55,52,3.735615844780812,20
54,32,3.9192209201249644,8
53,149,23.942367255185122,29
52,139,10645625.523978688,108
51,217,4.86487098528395,120
50,207,4.553364599101738,28
49,264,3.825026787525301,30
48,193,2.5775893751926526,8
47,50,4.444946752193357,9
46,1241,3.9753139431393403,1125
45,146,,
44,677,,
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,,
36,14,3.4963329985091693,8
35,25,3.044528431518993,10
34,14,2.5571390888548087,2
33,62,6139.13321260544,8
32,7,2.1624134109124498,2
31,15,966.8022548589216,6
30,12,97.31893828509723,5
29,18,78.89554210261535,3
28,10,7.64997882893567,4
27,85,,
26,3,12.174320121516567,2
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
